NAME,INVOICEDATE,PRODUCTNAME
1,01-01-2025,Milk
1,01-01-2025,Bread
1,01-02-2025,Eggs
1,01-02-2025,Apples
1,01-03-2025,Bananas
1,01-03-2025,Orange Juice
1,01-04-2025,Cereal
2,01-01-2025,Butter
2,01-01-2025,Cheese
2,01-02-2025,Yogurt
2,01-02-2025,Chicken
2,01-03-2025,Beef
2,01-03-2025,Pasta
3,01-01-2025,Tomato Sauce
3,01-01-2025,Olive Oil
3,01-02-2025,Rice
3,01-02-2025,Potatoes
3,01-03-2025,Carrots
3,01-03-2025,Broccoli
4,01-01-2025,Toothpaste
4,01-01-2025,Milk
4,01-02-2025,Bread
4,01-02-2025,Eggs
4,01-03-2025,Apples
4,01-03-2025,Bananas
5,01-01-2025,Orange Juice
5,01-01-2025,Cereal
5,01-02-2025,Butter
5,01-02-2025,Cheese
5,01-03-2025,Yogurt
